Date,Close
2017-01-03,2238.830078
2017-01-04,2272.483692171047
2017-01-05,2322.573217904082
2017-01-06,2325.9732492723774
2017-01-09,2337.4882174321265
2017-01-10,2363.0762912421155
2017-01-11,2362.625774273581
2017-01-12,2373.7165651677014
2017-01-13,2347.242363295386
2017-01-17,2349.3969453702803
2017-01-18,2337.0537388688076
2017-01-19,2329.5146146165707
2017-01-20,2308.5433451704685
2017-01-23,2292.3011064998927
2017-01-24,2309.567099773774
2017-01-25,2324.9954050551305
2017-01-26,2315.7921242917996
2017-01-27,2314.768549182374
2017-01-30,2334.5801507881097
2017-01-31,2335.1473205237226
2017-02-01,2377.200020999537
2017-02-02,2390.023024103663
2017-02-03,2389.165298743019
2017-02-06,2384.4568853093765
2017-02-07,2372.2293379162224
2017-02-08,2368.583497922767
2017-02-09,2389.9091837998294
2017-02-10,2338.9971225110194
2017-02-13,2311.82949209377
2017-02-14,2323.020960082544
2017-02-15,2324.606299694507
2017-02-16,2325.497270096345
2017-02-17,2349.0088272963358
2017-02-21,2397.192059111598
2017-02-22,2402.7829587942597
2017-02-23,2392.166132740341
2017-02-24,2387.414595105538
2017-02-27,2380.092693389245
2017-02-28,2391.584586042207
2017-03-01,2381.304027943494
2017-03-02,2343.942737575316
2017-03-03,2346.1915904815705
2017-03-06,2338.979094223864
2017-03-07,2314.0953453632487
2017-03-08,2314.544823080897
2017-03-09,2292.5098152408505
2017-03-10,2301.7715030316117
2017-03-13,2332.104940842649
2017-03-14,2383.426754871342
2017-03-15,2384.7421639875943
2017-03-16,2416.189907710066
2017-03-17,2415.1583733894277
2017-03-20,2447.2152747386363
2017-03-21,2430.174302632263
2017-03-22,2388.6490473273216
2017-03-23,2402.898161013404
2017-03-24,2420.9151387452857
2017-03-27,2421.371889549869
2017-03-28,2382.2332199623856
2017-03-29,2355.0138381605143
2017-03-30,2350.6192886322247
2017-03-31,2335.209104420817
2017-04-03,2352.687856230576
2017-04-04,2359.9810982485847
2017-04-05,2385.746140002745
2017-04-06,2379.0058161680126
2017-04-07,2378.020536254187
2017-04-10,2377.1232224235623
2017-04-11,2391.398013861824
2017-04-12,2438.0604044464526
2017-04-13,2416.9388557647762
2017-04-17,2383.452532090839
2017-04-18,2405.419611361724
2017-04-19,2409.0241311701866
2017-04-20,2425.5388531259505
2017-04-21,2455.789792184216
2017-04-24,2461.148980944967
2017-04-25,2460.011988541542
2017-04-26,2471.427369473095
2017-04-27,2465.586120399862
2017-04-28,2482.4798643084955
2017-05-01,2445.5311438332405
2017-05-02,2404.098017051721
2017-05-03,2425.799217324034
2017-05-04,2405.8399210852767
2017-05-05,2404.1105470696207
2017-05-08,2424.4712835283503
2017-05-09,2418.4001662702262
2017-05-10,2443.311003936384
2017-05-11,2421.875677793117
2017-05-12,2394.4503690133097
2017-05-15,2388.0220298956688
2017-05-16,2406.871578373652
2017-05-17,2374.372784634983
2017-05-18,2380.133121009245
2017-05-19,2387.8234159735453
2017-05-22,2381.3510979385956
2017-05-23,2395.647708506895
2017-05-24,2410.5497709971214
2017-05-25,2408.494420011683
2017-05-26,2416.6771144724
2017-05-30,2401.1454369793114
2017-05-31,2402.091844915538
2017-06-01,2416.1452891006193
2017-06-02,2409.6400731925887
2017-06-05,2404.374705817679
2017-06-06,2430.260984181518
2017-06-07,2448.1453109376885
2017-06-08,2478.0669910551683
2017-06-09,2469.460812263575
2017-06-12,2455.6261959877097
2017-06-13,2464.584526491193
2017-06-14,2434.9504132022503
2017-06-15,2455.4694603024222
2017-06-16,2416.6449041013525
2017-06-19,2410.0952917627797
2017-06-20,2396.4597634422475
2017-06-21,2374.785028573312
2017-06-22,2354.133951370853
2017-06-23,2316.2188801858797
