serial_number,failure
ZLW0C6WP,0.00748373353173747
8190A129FV8G,0.002329201880045324
ZJV2EPWL,0.007407214327470969
ZJV5KQAF,0.029621925200676767
ZA171BGQ,0.025441517396979845
Z3053J84,0.9911173673693472
ZL2L8GZY,0.00486638124050399
ZCH0BZ4L,0.031922286072943874
ZLW0TZD2,0.012473774975852888
5PHZ4ESD,0.005765634608247987
ZL2CGZ88,0.006352895248510379
VKGKN94X,0.006981478806480928
ZL005DWX,0.00747280827794701
8CGKHN8G,0.004511096215286576
ZA18AC2Z,0.4839937443705876
20W0A0FLF97G,0.010144988293847142
ZCH07VQQ,0.026482637920769277
ZL22ZHRD,0.008392771225954863
7030A04DF97G,0.011011489789355565
81B0A076FVKG,0.007582300628881376
ZA153S5V,0.7531564043471528
PL2331LAHBE7VJ,0.014182346167295624
8DKKRRSH,0.009382091879681812
ZA13MQL1,0.012943390270444239
51S0A35LFVGG,0.008075156109441404
ZJV0W7R2,0.01219824598442366
10A0A002F9RG,0.007835171029768755
ZL2CMMWP,0.006190647903319798
20H0A1ECF97G,0.017166057203659147
5PHKY83F,0.004817958567495497
ZLW18EHB,0.5947780598769794
ZJV4RVN4,0.02737722386046042
2BHX17SN,0.003869485801778078
ZL23XSDK,0.9374406240554766
ZJV1CG8W,0.0066217143198520345
ZLW2JNAY,0.011032978104100685
PL1311LAG3DLGH,0.031352612328974405
Z305DW2Q,0.3431344706688241
5090A0DAF97G,0.012457717752448924
Z4D05YVT,0.015843112664762782
ZA1EKZGG,0.012527280688395268
ZL2MKRZT,0.006718933457828845
Z305PEX6,0.02714530968527707
50J0A055FV8G,0.007937351256352036
ZA1438TF,0.04206462219017807
ZLW0C770,0.022163523031093472
ZJV0WGCH,0.7836232423511038
7040A0C0F97G,0.00961830436860195
ZL2MLSL9,0.006276563107284747
188DT94KT,0.42615501391356353
ZHZ65BHK,0.9815480129983397
ZCH085S5,0.26671762566341994
40X0A148F97G,0.014913763861555535
ZLW17SM7,0.9792538534863248
ZJV0074G,0.007243812500666499
11J0A0QKF97G,0.030423935185714644
ZLW18E5W,0.01972697096213875
D5G1AGSL,0.005548626428345707
ZCH07HE3,0.023886532101475493
8CGDGKWH,0.014367760748671122
ZL2CXE5S,0.044142284413944854
ZLW0GJYR,0.010622510905238714
ZHZ45633,0.0877734998894549
ZLW18SEZ,0.015168178369327951
2CKBEZUJ,0.0034821338183477816
5080A0EVF97G,0.01883103507528874
ZCH06TFV,0.01994977175501931
ZL2C6TJT,0.00982408749230429
ZA180YNP,0.021972936274108578
3070A0D1F97G,0.010602732384885565
ZL2MLE3W,0.004527410368272362
AAHEJEMH,0.005863329332144151
ZA12QFG5,0.025276237353320324
ZJV02TFP,0.08565811801365843
2AGM939Y,0.012806210068964324
ZA13YP6Q,0.027066222979861693
ZLW0GHX4,0.01273892938167744
ZHZ1V8G9,0.9583923278716482
ZA11ATWS,0.07096760238416279
ZA1ETXLD,0.022159777852676275
ZCH0G7P9,0.01606721911582918
61A0A0NWF97G,0.008994363798371572
2CJWRYXN,0.003842674502247917
2BJ4U6XD,0.0016058686095011925
AAHKBBAH,0.020986516946874593
PL2331LAHDASYJ,0.016183341131007657
QBH52KRT,0.008356178408919137
Z305FFQB,0.0763594970065406
22G0A1G3FV8G,0.0034445269726753477
51T0A2YAFVGG,0.024171854025634282
2BJ3E3SN,0.006307912026585582
ZL2NFXX3,0.005831024056339033
8HHA7YLH,0.016646205283401327
5090A0BEF97G,0.016086233497930057
S300XCQD,0.0242721674621407
X0GG3KVC,0.007797581518817848
Z3054BNK,0.04838153221839172
AAHM4XEH,0.01181443980341149
PL2331LAHAJWPJ,0.016861620294229072
S2ZYJ9DFA03935,0.9517471936109911
7TA006B0,0.012297975790238698
Z302B1B8,0.9533131670181799
ZJV0WFT8,0.02800838351213223
8HKJPXMH,0.011991250269527647
ZL22YS9X,0.007285775780944773
12E0A02JF97G,0.033113381357104545
Z305GWPY,0.056450074434274834
8DKD1N3H,0.0055383130125576125
ZL2L8BDC,0.005406156954054173
Z304KBZT,0.9563273398275346
ZHZ668WA,0.016872452605183705
ZJV2FQ30,0.007548056029252731
ZL0051VP,0.053620289006726295
Z305D5RS,0.9848329801933449
ZLW0CNAN,0.01598184298079821
ZA170V4X,0.033471012587818545
AAHEKYLH,0.006288049422784799
ZCH0CC6K,0.07108955829663297
ZLW15T4J,0.014657230074807908
X0GEA2JC,0.004911064246704283
7090A0CCF97G,0.008545463906716778
Z304XVG2,0.04303658052257608
AAG64ANH,0.023323830794209435
ZCH09E9S,0.008081649842589111
11J0A0DYF97G,0.016174295439275954
9LG60PYA,0.006404232582881286
3GKXLEME,0.003214237476395785
PL2331LAHDB5EJ,0.017412302705676997
D5G1EEDL,0.0053079037611003885
ZL2MLE03,0.004140426210150019
ZCH09B79,0.039026387025547955
ZCH0ADQA,0.009146669494806721
ZA13R448,0.03224041336062812
ZLW18TYT,0.019499483524619405
ZL004FFQ,0.023750399135140394
ZCH07ZSF,0.019826669342581503
3070A136F97G,0.051131985078381
11F0A03DF97G,0.021577276052791097
6130A06LF97G,0.011860151292375101
PL1331LAG9A36H,0.8690188663986108
61A0A0KUF97G,0.012624843172684544
X0GEMBHC,0.00971901162423253
PL2331LAGSTMZJ,0.029033744309733538
ZJV121PY,0.006125561384269791
ZL2B6SXF,0.011063728879150015
Z304KCG2,0.08654262113173541
ZCH084DT,0.015404002242365867
PL1331LAHD5E9H,0.01926764642924101
ZCH070Y6,0.024383562546285927
ZHZ0NB3L,0.04013627301268109
ZCH0D1F4,0.9012807114689314
X1G97U7L,0.006486402101432599
ZA123D48,0.9617792108907924
PL2331LAHDKA1J,0.015826335191825212
11K0A030F97G,0.01090912213745523
ZJV5FNHX,0.008369939119523991
ZJV3C770,0.0347571307349729
ZA12NDQV,0.14161629786344862
ZL00528S,0.03348457359023282
ZA217E7Z,0.02944999934587463
ZJV4V5CV,0.05432514406708901
ZA18BTR2,0.02074267964655409
ZHZ4VAJE,0.01931263537407272
ZA13R1EJ,0.022225522276755276
Z304KCY4,0.050291402565910616
ZA172JWW,0.019164127754338754
70L0A00HF97G,0.01595461516160219
ZL0052ZX,0.011946598800813472
ZCH09ETR,0.0664586808273758
20W0A12XF97G,0.00912272058054315
ZL2L8BDD,0.007107519468710209
ZCH06VWV,0.008640095600231957
40P0A0Y2F97G,0.0105882783660052
ZL2MD3WH,0.004925253268031173
AAG6TVPH,0.008931187538776392
7190A3ZEFVGG,0.007951155330456885
ZL23XS2J,0.008510670366359666
ZLW18Q5H,0.01726438892377567
PL1331LAGBYUKH,0.5875300040317935
ZA180YKD,0.019850990676348844
5070A0B9F97G,0.01078418104249569
22G0A0T7FV8G,0.004891090238237012
PL1331LAHD678H,0.7940016057656438
ZCH0BCQW,0.039952281578211006
ZA18BV20,0.015360404604449656
8190A0LHFVKG,0.004240721233164111
ZHZ3RC80,0.9479443283168909
ZJV0YLF8,0.00696052629188912
8CGJY1BH,0.00500287593899359
PL2331LAH45UVJ,0.012665375318309227
ZJV00BLE,0.009205236141123249
ZCH06ELY,0.014338505624731194
3080A03DF97G,0.00557453512242745
ZHZ2LN2E,0.011359776303797718
ZJV040AG,0.02732964417414386
61A0A114F97G,0.007436354991276319
ZHZ5SVVM,0.03369426149215619
ZCH0CJZH,0.00896594805088748
20H0A1M0F97G,0.016179700883879794
PL1331LAHDY8ZH,0.019318914670735553
5PHN80DD,0.008651727660123648
5PHJZV1F,0.005165090718532854
ZJV0WBVM,0.01128918237508294
1180A01TF97G,0.014099740367582339
ZL230LTV,0.009677572186749498
ZLW02E8K,0.039694766229775184
ZL23XB5C,0.007603087982583466
Z4D0A3EZ,0.011593424375756457
51R0A30VFVGG,0.007720694252288903
2BJ1UHEN,0.0033686768287337658
ZJV1F8WZ,0.008274319457370618
ZJV00NSZ,0.01767229229348604
ZL2LGES3,0.0039636989982824045
